178 120 152 198 251 668 130
175 107 168 205 244 673 131
175 111 164 209 240 678 132
170 112 168 214 235 688 133
172 105 173 213 236 690 134
179 103 168 214 235 696 135
186 96 168 220 229 702 136
186 104 160 223 226 708 137
193 104 153 222 227 711 138
185 113 152 219 230 715 139
175 126 149 212 237 719 140
179 115 156 208 241 728 141
179 112 159 209 240 738 142
182 112 156 204 245 741 143
183 106 161 202 247 746 144
182 109 159 208 241 752 145
182 115 153 213 236 757 146
182 116 152 211 238 764 147
179 121 150 213 236 766 148
185 120 145 208 241 772 149
184 121 145 210 239 779 150
186 116 148 213 236 785 151
177 129 144 207 242 788 152
173 125 152 210 239 789 153
175 120 155 203 246 795 154
177 113 160 203 246 799 155
189 104 157 201 248 805 156
193 105 152 203 246 809 157
184 115 151 206 243 814 158
188 114 148 204 245 818 159
181 125 144 201 248 821 160
183 126 141 196 253 824 161
176 123 151 201 248 826 162
172 120 158 200 249 828 163
171 120 159 199 250 833 164
175 117 158 200 249 838 165
174 118 158 204 245 843 166
177 118 155 204 245 849 167
179 112 159 208 241 855 168
183 109 158 203 246 858 169
189 101 160 202 247 862 170
188 105 157 202 247 865 171
178 119 153 208 241 871 172
174 120 156 205 244 876 173
175 119 156 197 252 879 174
172 120 158 197 252 883 175
173 120 157 197 252 884 176
162 127 161 192 257 886 177
163 110 177 194 255 892 178
171 101 178 195 254 896 179
167 101 182 197 252 899 180
169 106 175 199 250 907 181
168 111 171 201 248 911 182
165 119 166 201 248 917 183
168 125 157 206 243 921 184
172 123 155 207 242 926 185
173 126 151 212 237 929 186
177 126 147 207 242 935 187
185 114 151 206 243 940 188
184 107 159 211 238 947 189
183 109 158 203 246 951 190
185 110 155 206 243 956 191
187 109 154 198 251 960 192
187 104 159 200 249 968 193
187 102 161 196 253 977 194
178 114 158 199 250 982 195
178 106 166 202 247 989 196
182 97 171 201 248 995 197
178 102 170 202 247 1000 198
173 110 167 201 248 1003 199
166 113 171 202 247 1006 200
168 107 175 199 250 1010 201
173 105 172 204 245 1016 202
173 106 171 209 240 1019 203
168 117 165 211 238 1024 204
171 111 168 213 236 1029 205
165 116 169 209 240 1034 206
170 111 169 207 242 1038 207
177 106 167 210 239 1042 208
186 106 158 211 238 1046 209
183 115 152 211 238 1051 210
181 106 163 208 241 1055 211
185 106 159 212 237 1060 212
178 108 164 218 231 1063 213
178 115 157 217 232 1068 214
189 108 153 209 240 1072 215
192 106 152 205 244 1075 216
177 113 160 199 250 1079 217
185 104 161 202 247 1081 218
177 111 162 198 251 1085 219
166 121 163 196 253 1091 220
170 115 165 202 247 1093 221
176 109 165 211 238 1096 222
178 98 174 218 231 1099 223
174 105 171 218 231 1100 224
174 101 175 220 229 1102 225
171 101 178 221 228 1104 226
177 100 173 227 222 1111 227
183 92 175 224 225 1117 228
179 104 167 220 229 1123 229
178 109 163 219 230 1126 230
183 110 157 221 228 1129 231
185 109 156 213 236 1136 232
177 124 149 208 241 1140 233
180 125 145 202 247 1142 234
182 120 148 204 245 1149 235
182 122 146 198 251 1153 236
173 126 151 202 247 1159 237
176 120 154 206 243 1165 238
177 122 151 202 247 1173 239
177 122 151 200 249 1178 240
167 128 155 200 249 1188 241
179 118 153 199 250 1196 242
173 118 159 197 252 1203 243
171 116 163 198 251 1206 244
184 102 164 193 256 1210 245
178 105 167 203 246 1213 246
181 103 166 194 255 1218 247
185 107 158 201 248 1221 248
182 114 154 212 237 1223 249
176 109 165 215 234 1228 250
174 104 172 216 233 1230 251
169 107 174 218 231 1235 252
160 112 178 221 228 1238 253
164 112 174 218 231 1243 254
168 113 169 220 229 1247 255
174 103 173 218 231 1251 256
169 114 167 221 228 1262 257
187 103 160 222 227 1265 258
191 102 157 226 223 1271 259
172 118 160 223 226 1275 260
182 107 161 226 223 1280 261
176 117 157 216 233 1285 262
174 118 158 212 237 1291 263
175 114 161 207 242 1296 264
173 112 165 213 236 1301 265
171 107 172 214 235 1306 266
167 106 177 221 228 1309 267
166 106 178 221 228 1310 268
171 107 172 219 230 1317 269
177 97 176 218 231 1319 270
173 100 177 216 233 1325 271
174 107 169 223 226 1331 272
179 106 165 224 225 1338 273
168 118 164 218 231 1341 274
168 116 166 211 238 1346 275
173 104 173 213 236 1353 276
172 107 171 214 235 1361 277
173 114 163 215 234 1368 278
178 108 164 217 232 1373 279
178 112 160 219 230 1377 280
188 108 154 222 227 1382 281
189 109 152 215 234 1383 282
191 107 152 213 236 1394 283
194 106 150 208 241 1398 284
182 119 149 205 244 1403 285
177 119 154 207 242 1411 286
196 108 146 206 243 1415 287
192 112 146 215 234 1418 288
189 118 143 213 236 1423 289
190 122 138 211 238 1425 290
182 132 136 210 239 1427 291
174 131 145 212 237 1433 292
180 125 145 208 241 1440 293
179 121 150 204 245 1447 294
175 122 153 215 234 1451 295
170 127 153 212 237 1453 296
179 113 158 210 239 1457 297
168 122 160 214 235 1461 298
167 121 162 217 232 1464 299
164 114 172 214 235 1467 300
165 111 174 215 234 1469 301
166 111 173 215 234 1473 302
173 103 174 218 231 1478 303
172 100 178 217 232 1479 304
170 103 177 219 230 1488 305
174 99 177 213 236 1491 306
170 104 176 210 239 1495 307
