91 73 106 353 276 581 192
88 78 104 361 268 584 193
84 77 109 356 273 586 194
81 84 105 349 280 590 195
80 84 106 355 274 592 196
80 85 105 359 270 595 197
81 82 107 362 267 598 198
81 81 108 356 273 599 199
87 70 113 359 270 607 200
87 72 111 366 263 612 201
92 73 105 370 259 613 202
90 76 104 375 254 617 203
86 80 104 377 252 623 204
96 78 96 375 254 625 205
93 75 102 373 256 627 206
88 79 103 371 258 629 207
91 76 103 373 256 634 208
93 66 111 377 252 637 209
88 68 114 377 252 642 210
81 77 112 367 262 642 211
90 72 108 372 257 649 212
89 74 107 374 255 650 213
87 75 108 378 251 652 214
87 78 105 377 252 654 215
92 75 103 376 253 656 216
93 73 104 383 246 662 217
94 70 106 385 244 665 218
90 63 117 392 237 665 219
88 67 115 396 233 666 220
89 65 116 400 229 666 221
86 65 119 401 228 668 222
90 62 118 399 230 671 223
87 66 117 400 229 672 224
94 62 114 404 225 675 225
92 67 111 400 229 678 226
97 67 106 399 230 684 227
103 61 106 400 229 687 228
99 69 102 390 239 690 229
99 69 102 395 234 692 230
116 64 90 397 232 698 231
113 67 90 397 232 705 232
116 71 83 401 228 707 233
119 63 88 405 224 710 234
120 59 91 403 226 713 235
110 63 97 401 228 714 236
102 66 102 394 235 717 237
107 67 96 399 230 720 238
113 66 91 396 233 722 239
115 66 89 394 235 726 240
118 72 80 387 242 729 241
112 73 85 389 240 731 242
110 80 80 389 240 731 243
111 81 78 386 243 736 244
113 79 78 385 244 739 245
107 82 81 389 240 743 246
105 80 85 390 239 747 247
101 83 86 383 246 748 248
101 82 87 383 246 749 249
104 76 90 387 242 752 250
100 75 95 395 234 754 251
97 71 102 393 236 755 252
102 69 99 391 238 760 253
100 67 103 388 241 764 254
102 67 101 392 237 766 255
101 69 100 395 234 767 256
103 66 101 394 235 768 257
104 63 103 397 232 771 258
108 59 103 399 230 775 259
105 61 104 402 227 780 260
109 55 106 399 230 784 261
109 60 101 402 227 786 262
107 69 94 397 232 787 263
111 61 98 396 233 789 264
106 59 105 404 225 790 265
100 64 106 402 227 794 266
102 67 101 405 224 796 267
99 68 103 402 227 800 268
106 59 105 401 228 803 269
99 67 104 401 228 809 270
96 68 106 394 235 812 271
86 76 108 390 239 813 272
88 71 111 382 247 814 273
85 70 115 387 242 814 274
92 56 122 386 243 815 275
95 56 119 386 243 815 276
96 59 115 389 240 815 277
108 48 114 391 238 819 278
107 50 113 395 234 822 279
106 52 112 394 235 824 280
110 52 108 405 224 828 281
94 67 109 404 225 830 282
104 59 107 398 231 833 283
113 56 101 397 232 837 284
102 67 101 397 232 840 285
110 60 100 395 234 843 286
109 60 101 396 233 846 287
108 61 101 400 229 850 288
113 59 98 403 226 856 289
112 63 95 401 228 860 290
115 66 89 392 237 864 291
114 66 90 392 237 868 292
118 56 96 391 238 872 293
125 54 91 397 232 874 294
130 50 90 400 229 878 295
127 56 87 407 222 879 296
121 64 85 408 221 882 297
121 67 82 405 224 884 298
116 75 79 404 225 887 299
108 78 84 407 222 888 300
106 78 86 406 223 894 301
107 73 90 405 224 895 302
113 63 94 403 226 897 303
114 64 92 404 225 897 304
108 71 91 407 222 901 305
113 63 94 410 219 903 306
109 66 95 407 222 905 307
108 65 97 409 220 906 308
104 68 98 406 223 907 309
100 62 108 407 222 909 310
106 55 109 408 221 913 311
